order_number,avg_popular_share,avg_unique_ratio,avg_items,n_user_orders
1,0.7922837054149394,1.0,10.077484493887269,206209
2,0.7932157389998217,1.0,9.933281282582234,206209
3,0.794167428899001,1.0,9.944915110397703,206209
4,0.7964083772467592,1.0,9.98939760622973,182223
5,0.7992699207709115,1.0,10.012795681073337,162633
6,0.8008509709039775,1.0,10.051601715050387,146468
7,0.8025418753096409,1.0,10.057812664947443,132618
8,0.8043934021143855,1.0,10.082436031029292,120918
9,0.8060523745261908,1.0,10.119102665992342,110728
10,0.8076357378987717,1.0,10.115481434864694,101696
11,0.8094746645613154,1.0,10.126170364610518,93881
12,0.8098554422201156,1.0,10.095963372407367,86929
13,0.8115621585475403,1.0,10.158402835438018,80693
14,0.8129321818709081,1.0,10.147842301545019,75080
15,0.8140458304420154,1.0,10.119031607262945,69889
16,0.8154002166048888,1.0,10.146884954667973,65296
17,0.8160162155279606,1.0,10.17268669162974,61157
18,0.8172562751127272,1.0,10.194640707594075,57321
19,0.8175736755138513,1.0,10.193061504515029,53931
20,0.8192429162790414,1.0,10.151583844197829,50731
