order_number,avg_mean_log_popularity,avg_ultra_popular_share,n_user_orders
1,8.617168738541112,0.39991259625413167,206209
2,8.621697944207654,0.4005426037693742,206209
3,8.62773192699355,0.4011587081546909,206209
4,8.645945122844637,0.4045025598156825,182223
5,8.66548555173578,0.4086127433233497,162633
6,8.675064504036648,0.40942924738765146,146468
7,8.69327137163536,0.4140165083550091,132618
8,8.703767189591286,0.4146611853058804,120918
9,8.718061331684606,0.41823367469308287,110728
10,8.729512018046194,0.42037817795105914,101696
11,8.739899650809877,0.4219532129978188,93881
12,8.743272347770828,0.4235358234695533,86929
13,8.756902133357647,0.42525952474680534,80693
14,8.763180827301007,0.42708359161631493,75080
15,8.773270515928774,0.4290795208155711,69889
16,8.780616347745543,0.42960365814074086,65296
17,8.789225255635897,0.43148365973446634,61157
18,8.80346826943871,0.4353954386446666,57321
19,8.806554902279057,0.4365551352238145,53931
20,8.810053361966393,0.43517018806659385,50731
